iter	RMSE
0	1.321122065
1	1.23904866
2	1.15810658
3	1.080263236
4	1.021128508
5	0.9658082864
6	0.9198633558
7	0.8678727561
8	0.8205047453
9	0.7774004052
10	0.7414198729
11	0.7124896618
12	0.681686909
13	0.6576402082
14	0.6366752044
15	0.6202911243
16	0.5948773872
17	0.568258132
18	0.5548630167
19	0.5448981466
20	0.5245040305
21	0.512512909
22	0.497289862
23	0.482708425
24	0.4748793006
25	0.4652805324
26	0.4535082558
27	0.4464977763
28	0.4398836748
29	0.4348821352
30	0.4260651959
31	0.4204838048
32	0.4167804493
33	0.4134215109
34	0.4087654255
35	0.4043981843
36	0.4009151986
37	0.3967095638
38	0.3924354132
39	0.3865111338
40	0.3837585502
41	0.3818337704
42	0.3791066555
43	0.3735871866
44	0.3703287189
45	0.3676503353
46	0.3655062615
47	0.3638107385
48	0.3615671351
49	0.3593198117
50	0.3553781805
51	0.3535629199
52	0.3497474076
53	0.3488489593
54	0.3475935147
55	0.3459271289
56	0.3424110108
57	0.3412268755
58	0.339835358
59	0.3390247957
60	0.3365303459
61	0.3351778863
62	0.3335409577
63	0.331032042
64	0.3297122619
65	0.3290163087
66	0.3269520837
67	0.3255851871
68	0.3250229145
69	0.3245769983
70	0.3231626521
71	0.3223006248
72	0.320850352
73	0.3200013072
74	0.3192914674
75	0.3184606587
76	0.3169294219
77	0.316391098
78	0.3158967821
79	0.3150135748
80	0.3141902661
81	0.3138150882
82	0.3131614895
83	0.3120783363
84	0.3115786486
85	0.3102710425
86	0.3099260488
87	0.309553003
88	0.3085316032
89	0.3077683439
90	0.3072867666
91	0.306316252
92	0.3057738027
93	0.3050925932
94	0.3044405449
95	0.3036316178
96	0.303156101
97	0.3023572227
98	0.3015201167
99	0.3009551849
100	0.3006156104
101	0.2998395896
102	0.2992690011
103	0.2986556144
104	0.2983357014
105	0.2975566553
106	0.2969495026
107	0.296471744
108	0.295702551
109	0.295312792
110	0.2948652599
111	0.294647721
112	0.2940724486
113	0.2935245556
114	0.2931359053
115	0.2926604505
116	0.2923692465
117	0.2920881169
118	0.2916292718
119	0.2914632754
120	0.2913013721
121	0.2907735409
122	0.2901685972
123	0.2897161471
124	0.2894247353
125	0.2892547003
126	0.2888080937
127	0.2886511621
128	0.2882158067
129	0.2877813282
130	0.2876177433
131	0.2874398838
132	0.2871092893
133	0.2864918359
134	0.2862567384
135	0.2860061229
136	0.2856689946
137	0.2854739864
138	0.2853533453
139	0.2849567652
140	0.2847750783
141	0.2843047198
142	0.2839420734
143	0.2836413769
144	0.2834147441
145	0.282970299
146	0.2827459088
147	0.2822800083
148	0.2819062048
149	0.2815357322
150	0.2811254242
151	0.2809707037
152	0.2806718403
153	0.2804826652
154	0.2803356625
155	0.2799499346
156	0.2795217395
157	0.2789091462
158	0.2786641891
159	0.2783918003
160	0.2783162788
161	0.2779853049
162	0.2776720735
163	0.2775260109
164	0.277359513
165	0.276998283
166	0.2767081679
167	0.2765041289
168	0.276339424
169	0.2756847946
170	0.2755898629
171	0.2752319769
172	0.2749245812
173	0.2746510868
174	0.2744432577
175	0.2741850044
176	0.2738118331
177	0.2735658985
178	0.273341759
179	0.2728202893
180	0.272815259
181	0.2725111321
182	0.2722367115
183	0.271970647
184	0.2717685411
185	0.2715229265
186	0.2714701388
187	0.2710988911
188	0.2710068845
189	0.2707603386
190	0.2705743771
191	0.2703611732
192	0.2702724372
193	0.2701267506
194	0.269895196
195	0.2697246271
196	0.2694573361
197	0.2692296192
198	0.2691841039
199	0.2690738225
200	0.2689707641
201	0.2687773803
202	0.2685918032
203	0.2681287082
204	0.267906233
205	0.2676735663
206	0.2674629384
207	0.26731619
208	0.2667337584
209	0.266664118
210	0.2665347972
211	0.2664606415
212	0.2662876668
213	0.2661070717
214	0.2660077603
215	0.2658326668
216	0.2653183026
217	0.2650272525
218	0.2647672752
219	0.2645598674
220	0.2642737962
221	0.2639420401
222	0.2636505709
223	0.2635165038
224	0.2632010895
225	0.2628234447
226	0.2625961833
227	0.262270473
228	0.2621573601
229	0.2619019763
230	0.2616740885
231	0.2615648706
232	0.2613943375
233	0.261271709
234	0.2611969119
235	0.2611020878
236	0.2608375032
237	0.2608105027
238	0.2606548748
239	0.260651301
240	0.2605033456
241	0.2601177615
242	0.259674462
243	0.2594928652
244	0.259370374
245	0.2590334722
246	0.2588195459
247	0.2585368649
248	0.2584054057
249	0.2584025772
250	0.2583995062
251	0.2582262874
252	0.2581498759
253	0.2579598472
254	0.2577588434
255	0.2577163023
256	0.2576935795
257	0.2573206114
258	0.2571581508
259	0.2570029714
260	0.2568994246
261	0.2567259504
262	0.2566035504
263	0.2565143153
264	0.2564814308
265	0.2561849241
266	0.2559872036
267	0.2559412978
268	0.2558004662
269	0.2557838829
270	0.2556423752
271	0.255396196
272	0.2553915484
273	0.2550681054
274	0.2550627781
275	0.2548969486
276	0.2546384536
277	0.2543971888
278	0.2542131121
279	0.2540279507
280	0.2538756011
281	0.2538000156
282	0.2537589401
283	0.253514718
284	0.2535101959
285	0.2533037335
286	0.2531507198
287	0.2530422747
288	0.2528329094
289	0.252828533
290	0.2526329312
291	0.2525437911
292	0.2523727288
293	0.2522175385
294	0.2521382836
295	0.2520724756
296	0.252070099
297	0.2519060714
298	0.2517445821
299	0.2515719865
300	0.2513542277
301	0.2513475215
302	0.2512309786
303	0.2510622879
304	0.2509048989
305	0.2505895267
306	0.2503855526
307	0.2502427255
308	0.2501312467
309	0.2500273014
310	0.2499060241
311	0.2498999166
312	0.2496056596
313	0.2494339597
314	0.2491363766
315	0.2490772892
316	0.2489392015
317	0.2486947164
318	0.2486387823
319	0.2482887872
320	0.2482227519
321	0.2480338167
322	0.2478176363
323	0.2476794888
324	0.2474268984
325	0.2472775509
326	0.247267001
327	0.2471590791
328	0.2471425165
329	0.2470557409
330	0.2469189365
331	0.2468116418
332	0.2465577885
333	0.2463915068
334	0.2463561627
335	0.2461765811
336	0.2460320681
337	0.2456377888
338	0.2455857053
339	0.245417362
340	0.2452124001
341	0.2450771917
342	0.2449315353
343	0.2448167819
344	0.2448034963
345	0.2445989583
346	0.2445774603
347	0.2443723335
348	0.2442530495
349	0.2439408634
350	0.2439387837
351	0.2439122219
352	0.2437265456
353	0.2435140963
354	0.2435011295
355	0.243408473
356	0.2432807552
357	0.2430403865
358	0.2429333672
359	0.2429216035
360	0.242816783
361	0.2426952974
362	0.2426274837
363	0.2425807371
364	0.2425266329
365	0.2424219476
366	0.2423814429
