iter	Passed	Remaining
0	158	79217
1	163	40605
2	167	27734
3	171	21274
4	175	17420
5	180	14875
6	185	13034
7	189	11647
8	194	10586
9	198	9734
10	203	9028
11	207	8443
12	212	7948
13	217	7535
14	239	7737
15	243	7362
16	247	7037
17	252	6753
18	257	6506
19	261	6279
20	266	6072
21	270	5885
22	275	5715
23	280	5558
24	284	5405
25	288	5263
26	293	5134
27	297	5014
28	302	4909
29	307	4812
30	312	4723
31	317	4639
32	321	4551
33	326	4471
34	330	4391
35	334	4314
36	339	4247
37	344	4183
38	348	4120
39	353	4063
40	358	4007
41	362	3948
42	366	3895
43	370	3843
44	375	3797
45	380	3753
46	385	3710
47	389	3669
48	393	3624
49	398	3583
50	402	3544
51	407	3507
52	411	3474
53	416	3440
54	421	3409
55	425	3374
56	430	3342
57	434	3313
58	439	3283
59	446	3273
60	451	3250
61	455	3221
62	460	3192
63	464	3164
64	468	3136
65	472	3109
66	477	3084
67	481	3060
68	485	3035
69	489	3008
70	494	2987
71	499	2966
72	503	2947
73	508	2927
74	513	2907
75	517	2887
76	522	2870
77	527	2852
78	532	2835
79	536	2817
80	540	2798
81	545	2778
82	549	2760
83	554	2744
84	559	2729
85	563	2713
86	568	2697
87	572	2679
88	576	2664
89	581	2647
90	585	2633
91	590	2617
92	594	2601
93	598	2586
94	604	2576
95	609	2563
96	613	2546
97	617	2531
98	621	2517
99	625	2502
100	630	2489
101	653	2551
102	658	2537
103	663	2525
104	668	2513
105	675	2509
106	679	2495
107	684	2483
108	688	2470
109	693	2457
110	697	2443
111	701	2430
112	706	2418
113	710	2405
114	714	2393
115	719	2380
116	723	2367
117	727	2354
118	731	2341
119	735	2328
120	739	2316
121	743	2304
122	748	2293
123	752	2282
124	756	2270
125	760	2258
126	765	2247
127	769	2235
128	773	2224
129	777	2212
130	781	2201
131	785	2190
132	790	2180
133	794	2170
134	799	2160
135	803	2149
136	807	2139
137	811	2128
138	815	2118
139	820	2109
140	825	2100
141	830	2093
142	835	2084
143	839	2075
144	843	2065
145	848	2056
146	852	2046
147	856	2036
148	860	2027
149	865	2018
150	869	2009
151	874	2001
152	889	2016
153	893	2007
154	897	1998
155	901	1988
156	905	1978
157	911	1974
158	916	1965
159	929	1976
160	962	2026
161	966	2017
162	970	2007
163	974	1997
164	979	1988
165	983	1979
166	988	1970
167	992	1961
168	996	1952
169	1001	1943
170	1005	1934
171	1012	1930
172	1016	1921
173	1021	1913
174	1026	1905
175	1031	1898
176	1035	1889
177	1040	1882
178	1044	1873
179	1049	1865
180	1053	1856
181	1057	1848
182	1062	1840
183	1067	1832
184	1072	1826
185	1078	1820
186	1082	1812
187	1088	1806
188	1122	1847
189	1132	1848
190	1136	1839
191	1141	1830
192	1145	1821
193	1149	1813
194	1153	1804
195	1158	1796
196	1162	1787
197	1166	1779
198	1171	1771
199	1175	1762
200	1179	1754
201	1186	1749
202	1190	1742
203	1195	1734
204	1200	1727
205	1204	1719
206	1209	1711
207	1213	1703
208	1217	1695
209	1221	1687
210	1226	1679
211	1230	1671
212	1235	1664
213	1240	1657
214	1244	1649
215	1248	1641
216	1253	1634
217	1257	1626
218	1261	1618
219	1266	1611
220	1270	1603
221	1274	1596
222	1279	1589
223	1284	1582
224	1289	1575
225	1293	1568
226	1299	1562
227	1299	1562
228	1307	1553
229	1312	1547
230	1316	1539
231	1320	1531
232	1324	1523
233	1328	1516
234	1332	1508
235	1336	1500
236	1340	1493
237	1344	1485
238	1347	1478
239	1351	1469
240	1354	1462
241	1359	1455
242	1366	1450
243	1373	1447
244	1379	1441
245	1386	1437
246	1392	1431
247	1396	1424
248	1401	1417
249	1405	1411
250	1410	1404
251	1414	1397
252	1420	1391
253	1424	1385
254	1429	1378
255	1433	1371
256	1437	1364
257	1442	1358
258	1446	1351
259	1451	1344
260	1455	1338
261	1460	1331
262	1464	1325
263	1469	1319
264	1475	1313
265	1480	1307
266	1486	1302
267	1492	1296
268	1497	1290
269	1502	1284
270	1508	1279
271	1513	1273
272	1517	1266
273	1522	1260
274	1527	1253
